pdbid;chain;genus deposition date;pdb deposition date;total genus;sequence length
6lz4;C;2020-07-31;2020-02-18;0;8
6m2j;C;2020-07-31;2020-02-27;0;9
6nm3;A;2020-07-31;2019-01-10;0;8
6lni;A;2020-07-30;2019-12-30;0;60
6w25;B;2020-04-30;2020-03-04;0;6
6kto;D;2020-04-30;2019-08-28;0;48
6l4s;A;2020-04-30;2019-10-21;0;55
6ton;B;2020-04-23;2019-12-11;0;5
6tog;B;2020-04-23;2019-12-11;0;5
6u7s;A;2020-04-23;2019-09-03;0;14
6u7q;A;2020-04-23;2019-09-03;0;14
6xte;B;2020-04-23;2020-01-16;0;2
6jwm;B;2020-04-23;2019-04-21;0;7
6jwn;B;2020-04-23;2019-04-21;0;9
6vi3;E;2020-04-16;2020-01-11;0;77
6uur;A;2020-04-16;2019-10-31;0;40
6xyw;AG;2020-04-16;2020-01-31;0;61
6rxj;C;2020-04-16;2019-06-08;0;7
6rxr;E;2020-04-16;2019-06-08;0;9
6rxk;B;2020-04-16;2019-06-08;0;9
6rxp;C;2020-04-16;2019-06-08;0;10
6rxm;G;2020-04-16;2019-06-08;0;7
6rxs;B;2020-04-16;2019-06-08;0;8
6rxl;B;2020-04-16;2019-06-08;0;7
6rxq;E;2020-04-16;2019-06-08;0;9
6rxo;C;2020-04-16;2019-06-08;0;10
6jto;C;2020-04-16;2019-04-11;0;10
6jtn;C;2020-04-16;2019-04-11;0;10
6kn2;A;2020-04-09;2019-08-02;0;10
6knp;A;2020-04-09;2019-08-06;0;10
6kmy;A;2020-04-09;2019-08-01;0;10
6tgg;P;2020-04-09;2019-11-15;0;6
6lrq;A;2020-04-09;2020-01-16;0;63
6sj6;4;2020-04-09;2019-08-12;0;40
6sj6;0;2020-04-09;2019-08-12;0;44
6kn3;A;2020-04-09;2019-08-02;0;10
6kno;A;2020-04-09;2019-08-06;0;10
6kx9;C;2020-04-02;2019-09-10;0;8
6r00;B;2020-04-02;2019-03-12;0;14
6oi3;B;2020-04-02;2019-04-08;0;5
6qzy;B;2020-04-02;2019-03-12;0;13
6qw4;P;2020-03-26;2019-03-05;0;7
6s3w;B;2020-03-26;2019-06-26;0;13
6vro;B;2020-03-26;2020-02-08;0;14
6y7c;d;2020-03-19;2020-02-28;0;27
6qrm;C;2020-03-19;2019-02-19;0;8
6sk8;C;2020-03-19;2019-08-14;0;7
6rxh;A;2020-03-19;2019-06-08;0;26
6sjz;E;2020-03-19;2019-08-14;0;8
6skj;C;2020-03-19;2019-08-15;0;8
6sk3;C;2020-03-19;2019-08-14;0;8
6rlz;C;2020-03-19;2019-05-03;0;8
6irl;C;2020-03-19;2018-11-13;0;8
6vo5;C;2020-03-12;2020-01-30;0;15
6o5o;C;2020-03-12;2019-03-04;0;13
6pav;C;2020-03-12;2019-06-12;0;8
6pau;C;2020-03-12;2019-06-11;0;7
6vhl;E;2020-03-05;2020-01-10;0;77
6y1a;A;2020-03-05;2020-02-11;0;25
6vcs;G;2020-03-05;2019-12-22;0;6
6o23;E;2020-03-05;2019-02-22;0;18
6p7e;U;2020-03-05;2019-06-05;0;4
6pbw;E;2020-03-05;2019-06-14;0;8
6qp2;C;2020-03-05;2019-02-13;0;6
6o26;C;2020-03-05;2019-02-22;0;10
6pbv;G;2020-03-05;2019-06-14;0;9
6r2l;C;2020-02-27;2019-03-18;0;9
6ufr;A;2020-02-20;2019-09-24;0;63
6swc;Y;2020-02-20;2019-09-20;0;50
6tlj;D;2020-02-20;2019-12-02;0;18
6os1;B;2020-02-20;2019-05-01;0;7
6os0;B;2020-02-20;2019-05-01;0;8
6i7b;B;2020-02-20;2018-11-16;0;19
6vbp;E;2020-02-13;2019-12-19;0;13
6xyp;A;2020-02-13;2020-01-30;0;81
6xyo;A;2020-02-13;2020-01-30;0;81
6ttk;E;2020-02-13;2019-12-27;0;8
6ttu;I;2020-02-13;2019-12-30;0;14
6xyq;A;2020-02-13;2020-01-30;0;81
6pgq;B;2020-02-13;2019-06-24;0;11
6h9g;B;2020-02-13;2018-08-03;0;19
6i7m;B;2020-02-13;2018-11-16;0;19
6l0w;B;2020-02-06;2019-09-27;0;16
6nug;A;2020-02-06;2019-02-01;0;24
6l0v;B;2020-02-06;2019-09-27;0;16
6oyy;A;2020-02-06;2019-05-15;0;24
6p1y;A;2020-02-06;2019-05-20;0;24
6tjo;A;2020-02-06;2019-11-26;0;107
6gc3;B;2020-02-06;2018-04-17;0;12
6p02;A;2020-02-06;2019-05-16;0;24
6oz8;A;2020-02-06;2019-05-15;0;24
6ueb;B;2020-02-06;2019-09-20;0;42
6r5g;B;2020-02-06;2019-03-25;0;11
6spw;B;2020-01-30;2019-09-03;0;6
6spx;B;2020-01-30;2019-09-03;0;6
6s6q;C;2020-01-30;2019-07-03;0;21
6jat;B;2020-01-30;2019-01-25;0;16
6p6e;B;2020-01-30;2019-06-03;0;7
6s0y;C;2020-01-23;2019-06-18;0;14
6v63;Y;2020-01-23;2019-12-04;0;19
6urv;A;2020-01-23;2019-10-24;0;39
6npr;P;2020-01-23;2019-01-18;0;10
6rp9;C;2020-01-16;2019-05-14;0;9
6uz7;f;2020-01-16;2019-11-14;0;57
6v92;7;2020-01-16;2019-12-13;0;49
6smg;D;2020-01-16;2019-08-21;0;41
6v62;Y;2020-01-16;2019-12-04;0;18
6v8o;7;2020-01-16;2019-12-11;0;49
6q8l;A;2020-01-16;2018-12-15;0;12
6qdw;z;2020-01-16;2019-01-03;0;26
6j31;E;2020-01-16;2019-01-03;0;5
6rpb;C;2020-01-16;2019-05-14;0;9
6jod;B;2020-01-16;2019-03-20;0;8
6nk4;A;2020-01-16;2019-01-04;0;9
6px6;C;2020-01-16;2019-07-24;0;12
6q9f;B;2020-01-16;2018-12-18;0;20
6q9i;B;2020-01-16;2018-12-18;0;20
6py2;C;2020-01-16;2019-07-28;0;12
6oc2;A;2020-01-09;2019-03-21;0;17
6uc5;P;2020-01-09;2019-09-13;0;11
6v1n;A;2020-01-09;2019-11-20;0;17
6pv9;B;2020-01-02;2019-07-19;0;15
6v41;QQQ;2019-12-26;2019-11-27;0;11
6s22;F;2019-12-26;2019-06-20;0;12
6rhe;D;2019-12-26;2019-04-19;0;4
5qtu;H;2019-12-26;2019-10-16;0;7
6jwj;C;2019-12-26;2019-04-20;0;19
6kvm;C;2019-12-26;2019-09-04;0;17
6u3m;E;2019-12-19;2019-08-22;0;11
6ssx;A;2019-12-19;2019-09-09;0;83
6sst;A;2019-12-19;2019-09-09;0;83
6u3o;I;2019-12-19;2019-08-22;0;13
6u3n;C;2019-12-19;2019-08-22;0;11
6ryf;G;2019-12-19;2019-06-10;0;13
6pxc;U;2019-12-19;2019-07-25;0;12
6q41;B;2019-12-19;2018-12-05;0;48
6pxq;A;2019-12-19;2019-07-26;0;33
6q41;A;2019-12-19;2018-12-05;0;48
6q43;B;2019-12-19;2018-12-05;0;46
6mgq;D;2019-12-19;2018-09-14;0;3
6om2;E;2019-12-12;2019-04-17;0;10
6pyj;C;2019-12-05;2019-07-30;0;9
6qxz;B;2019-12-05;2019-03-08;0;9
6q1x;A;2019-12-05;2019-08-06;0;33
6pz5;C;2019-11-28;2019-07-31;0;9
6tdw;T;2019-11-28;2019-11-10;0;9
6uyr;B;2019-11-28;2019-11-14;0;24
6psl;A;2019-11-28;2019-07-12;0;10
6rot;A;2019-11-28;2019-05-13;0;11
6uyp;B;2019-11-28;2019-11-14;0;23
6pyw;C;2019-11-28;2019-07-31;0;9
6uyq;B;2019-11-28;2019-11-14;0;23
6uyv;B;2019-11-28;2019-11-14;0;24
6urg;F;2019-11-28;2019-10-23;0;49
6pyv;C;2019-11-28;2019-07-31;0;9
6uyt;B;2019-11-28;2019-11-14;0;23
6tyt;B;2019-11-28;2019-08-09;0;6
6uyo;B;2019-11-28;2019-11-14;0;12
6i7q;H;2019-11-28;2018-11-17;0;17
6kbm;B;2019-11-28;2019-06-25;0;26
6i7r;H;2019-11-28;2018-11-17;0;17
6uh5;R;2019-11-21;2019-09-26;0;8
6ov7;C;2019-11-21;2019-05-07;0;9
6n4p;A;2019-11-21;2018-11-19;0;6
6i3z;B;2019-11-21;2018-11-08;0;34
6i51;I;2019-11-21;2018-11-12;0;11
6sdz;A;2019-11-16;2019-07-29;0;113
6u42;5R;2019-11-16;2019-08-22;0;22
6o9b;C;2019-11-16;2019-03-13;0;9
6i54;B;2019-11-16;2018-11-12;0;19
6q0u;C;2019-11-16;2019-08-02;0;7
6q0m;C;2019-11-16;2019-08-02;0;7
6uhg;QQQ;2019-11-07;2019-09-27;0;11
6shs;A;2019-11-07;2019-08-08;0;40
6sri;C;2019-11-07;2019-09-05;0;30
6s0n;A;2019-11-07;2019-06-17;0;9
6qfk;B;2019-11-07;2019-01-10;0;14
6srs;C;2019-11-07;2019-09-05;0;30
6sh9;E;2019-11-07;2019-08-06;0;10
6qev;D;2019-11-07;2019-01-08;0;14
6my1;A;2019-11-07;2018-10-31;0;18
6my2;A;2019-11-07;2018-10-31;0;18
6o4j;A;2019-11-07;2019-02-28;0;11
6e37;B;2019-11-07;2018-07-13;0;12
6my3;A;2019-11-07;2018-11-01;0;18
6spb;1;2019-10-24;2019-09-01;0;31
6uhd;C;2019-10-24;2019-09-27;0;15
6spc;s;2019-10-24;2019-09-01;0;80
6p2f;C;2019-10-24;2019-05-21;0;9
6p27;C;2019-10-24;2019-05-21;0;9
6p2c;C;2019-10-24;2019-05-21;0;9
6p2s;C;2019-10-24;2019-05-22;0;9
6mpp;B;2019-10-23;2018-10-08;0;10
6p23;C;2019-10-23;2019-05-20;0;9
6sgb;UB;2019-10-17;2019-08-03;0;27
6sgb;UD;2019-10-17;2019-08-03;0;9
6se6;V;2019-10-17;2019-07-29;0;18
6see;V;2019-10-17;2019-07-29;0;18
6sef;V;2019-10-17;2019-07-29;0;18
6sg9;Um;2019-10-17;2019-08-03;0;11
6sg9;CE;2019-10-17;2019-08-03;0;23
6sga;UB;2019-10-17;2019-08-03;0;27
6sga;UG;2019-10-17;2019-08-03;0;17
6s12;4;2019-10-17;2019-06-18;0;37
6s12;V;2019-10-17;2019-06-18;0;58
6s12;1;2019-10-17;2019-06-18;0;47
6rxx;CZ;2019-10-17;2019-06-10;0;42
6rhy;A;2019-10-17;2019-04-23;0;42
6rr0;H;2019-10-17;2019-05-16;0;10
6qld;C;2019-10-17;2019-01-31;0;22
6qc2;x1;2019-10-17;2018-12-26;0;33
6q9e;x1;2019-10-17;2018-12-18;0;33
6qc3;x1;2019-10-17;2018-12-26;0;23
6qbx;x1;2019-10-17;2018-12-24;0;23
6qc4;x1;2019-10-17;2018-12-26;0;33
6pza;D;2019-10-17;2019-07-31;0;19
6q9b;S2;2019-10-17;2018-12-17;0;39
6oo2;G;2019-10-17;2019-04-22;0;25
6osm;A;2019-10-17;2019-05-01;0;60
6osj;A;2019-10-17;2019-05-01;0;61
6oiz;A;2019-10-17;2019-04-10;0;15
6osl;A;2019-10-17;2019-05-01;0;59
6ox0;Y;2019-10-17;2019-05-13;0;15
6ox5;Y;2019-10-17;2019-05-13;0;18
6ox1;Y;2019-10-17;2019-05-13;0;15
6ox2;Y;2019-10-17;2019-05-13;0;15
6ox3;Y;2019-10-17;2019-05-13;0;19
6nb9;A;2019-10-17;2018-12-06;0;15
6ndy;G;2019-10-17;2018-12-14;0;24
6n16;E;2019-10-17;2018-11-08;0;8
6mqm;C;2019-10-17;2018-10-10;0;7
6m7y;C;2019-10-17;2018-08-21;0;25
6km7;C;2019-10-17;2019-07-31;0;57
6k5r;B;2019-10-17;2019-05-30;0;12
6kbv;A;2019-10-17;2019-06-26;0;16
6kbo;A;2019-10-17;2019-06-26;0;16
6j40;2;2019-10-16;2019-01-07;0;10
6jjx;C;2019-10-16;2019-02-27;0;15
6j3z;2;2019-10-16;2019-01-07;0;10
6hby;C;2019-10-16;2018-08-13;0;19
6iex;C;2019-10-16;2018-09-17;0;10
6ieu;C;2019-10-16;2018-09-17;0;10
6j2f;C;2019-10-16;2019-01-01;0;9
6j0x;E;2019-10-16;2018-12-27;0;16
6ifg;E;2019-10-16;2018-09-20;0;3
6j0w;C;2019-10-16;2018-12-27;0;27
6j2a;C;2019-10-16;2018-12-31;0;9
6ifj;C;2019-10-16;2018-09-20;0;13
6j3y;2;2019-10-16;2019-01-07;0;10
6j2g;C;2019-10-16;2019-01-01;0;11
6eax;I;2019-10-16;2018-08-03;0;6
6ee9;X;2019-10-16;2018-08-13;0;25
6h6h;C;2019-10-16;2018-07-27;0;10
6h7i;A;2019-10-16;2018-07-31;0;12
6h6d;C;2019-10-16;2018-07-27;0;10
6hkp;S;2019-10-16;2018-09-07;0;14
6eaw;I;2019-10-16;2018-08-03;0;5
6h7q;A;2019-10-16;2018-07-31;0;12
6eau;I;2019-10-16;2018-08-03;0;8
6uge;G;2019-10-16;2019-09-26;0;12
6afq;A;2019-10-16;2018-08-08;0;21
6hqu;O;2019-10-16;2018-09-25;0;15
6iiw;B;2019-10-16;2018-10-07;0;6
6hl5;S;2019-10-16;2018-09-10;0;14
6q6g;S;2019-09-16;2018-12-11;0;46
6s8r;B;2019-09-05;2019-07-10;0;27
6rh6;B;2019-09-05;2019-04-18;0;15
6ptb;C;2019-09-05;2019-07-15;0;9
6qh7;P;2019-09-05;2019-01-15;0;6
6pte;C;2019-09-05;2019-07-15;0;9
6qh7;Q;2019-09-05;2019-01-15;0;9
6g3k;C;2019-09-05;2018-03-26;0;10
6hgt;E;2019-09-05;2018-08-23;0;7
6qh6;P;2019-09-05;2019-01-15;0;6
6qh6;Q;2019-09-05;2019-01-15;0;9
6qnp;J;2019-09-04;2019-02-11;0;39
6qnn;B;2019-09-04;2019-02-11;0;19
6qnp;H;2019-09-04;2019-02-11;0;33
6p8b;L;2019-09-04;2019-06-06;0;5
6hc1;C;2019-09-04;2018-08-13;0;11
6ha6;D;2019-09-04;2018-08-07;0;14
6oqp;A;2019-08-10;2019-04-28;0;13
6pdo;B;2019-07-26;2019-06-19;0;8
6pdn;B;2019-07-26;2019-06-19;0;8
6muo;K;2019-07-26;2018-10-23;0;19
6mnq;P;2019-07-26;2018-10-02;0;12
6mns;P;2019-07-26;2018-10-02;0;14
6mup;K;2019-07-26;2018-10-23;0;20
6ace;B;2019-07-26;2018-07-26;0;8
6ibo;C;2019-07-26;2018-11-30;0;5
6ht4;A;2019-07-26;2018-10-03;0;20
1l2z;B;2019-07-15;2002-02-26;0;11
1f8h;B;2019-07-15;2000-06-30;0;6
1guw;B;2019-07-15;2002-02-01;0;18
1cir;B;2019-07-15;1995-10-02;0;24
1a1p;A;2019-07-13;1997-12-12;0;13
1iwf;A;2019-07-13;2002-05-06;0;34
1jdk;A;2019-07-13;2001-06-14;0;13
1egs;A;2019-07-13;1997-06-30;0;9
1fry;A;2019-07-13;2000-09-07;0;29
1fuv;A;2019-07-13;2000-09-15;0;11
1grm;A;2019-07-13;1993-10-18;0;14
1h7j;A;2019-07-13;2001-07-08;0;26
1i6y;A;2019-07-13;2001-03-06;0;11
1i8g;A;2019-07-13;2001-03-14;0;10
1kb8;A;2019-07-13;1995-10-05;0;17
1kfp;A;2019-07-13;2001-11-22;0;18
1b03;A;2019-07-13;1998-11-17;0;18
1irr;A;2019-07-13;2001-10-23;0;23
1bfz;A;2019-07-13;1998-05-25;0;5
1cnl;A;2019-07-13;1999-05-20;0;12
1cs9;A;2019-07-13;1999-08-18;0;9
1ct6;A;2019-07-13;1999-08-19;0;9
1d7q;B;2019-07-13;1999-10-19;0;14
1j9v;A;2019-07-13;2001-05-29;0;13
1dvw;A;2019-07-13;2000-01-22;0;18
1e0q;A;2019-07-13;2000-04-05;0;17
1jd8;A;2019-07-13;2001-06-13;0;13
1jgn;B;2019-07-13;2001-06-26;0;22
1g26;A;2019-07-13;2000-10-17;0;31
1g89;A;2019-07-13;2000-11-16;0;13
1haj;B;2019-07-13;2001-04-05;0;13
1i98;A;2019-07-13;2001-03-18;0;11
1hoy;B;2019-07-13;2000-12-12;0;14
1hvz;A;2019-07-13;2001-01-09;0;18
1k09;A;2019-07-13;2001-09-18;0;24
1kc4;B;2019-07-13;2001-11-07;0;19
1a13;A;2019-07-13;1997-12-20;0;14
1aj1;A;2019-07-13;1997-05-14;0;18
1ans;A;2019-07-13;1994-06-09;0;27
1cfg;A;2019-07-13;1994-11-10;0;22
1cky;A;2019-07-13;1999-04-26;0;26
1cz6;A;2019-07-13;1999-09-01;0;25
1jbf;A;2019-07-13;2001-06-04;0;15
1jc8;A;2019-07-13;2001-06-08;0;13
1gm2;A;2019-07-13;2001-09-08;0;11
1hd9;A;2019-07-13;2000-11-13;0;10
1i8e;A;2019-07-13;2001-03-13;0;11
1i93;A;2019-07-13;2001-03-17;0;11
1id6;A;2019-07-13;2001-04-04;0;15
1i8h;A;2019-07-13;2001-03-14;0;13
1k09;B;2019-07-13;2001-09-18;0;24
1k43;A;2019-07-13;2001-10-05;0;14
1kuw;A;2019-07-13;2002-01-22;0;10
1k2n;P;2019-07-13;2001-09-28;0;9
1adx;A;2019-07-13;1997-02-18;0;40
1ckz;A;2019-07-13;1999-04-26;0;25
1cqg;B;2019-07-13;1996-04-02;0;13
1ejq;A;2019-07-13;2000-03-04;0;28
1fgd;A;2019-07-13;1995-11-28;0;18
1ful;A;2019-07-13;2000-09-15;0;11
1fwo;A;2019-07-13;2000-09-24;0;35
1jar;A;2019-07-13;2001-05-31;0;13
1i8y;A;2019-07-13;2001-03-16;0;28
1jsp;A;2019-07-13;2001-08-17;0;20
1k5r;A;2019-07-13;2001-10-12;0;40
1kvf;A;2019-07-13;2002-01-25;0;16
1kvg;A;2019-07-13;2002-01-25;0;12
1l1k;A;2019-07-13;2002-02-18;0;20
1jy6;A;2019-07-13;2001-09-11;0;24
1a0n;A;2019-07-13;1997-12-05;0;14
1aft;A;2019-07-13;1997-03-13;0;7
1dpk;A;2019-07-13;1999-12-27;0;20
1du9;A;2019-07-13;2000-01-17;0;28
1jaa;A;2019-07-13;2001-05-30;0;13
1jcp;A;2019-07-13;2001-06-11;0;13
1ff1;B;2019-07-13;2000-07-24;0;6
1g8c;A;2019-07-13;2000-11-16;0;13
1ic9;A;2019-07-13;2001-03-30;0;29
1kwd;A;2019-07-13;2002-01-29;0;16
5on6;g;2019-07-13;2017-08-03;0;71
6a8o;P;2019-07-13;2018-07-09;0;10
6r5q;1;2019-07-13;2019-03-25;0;24
6qtx;B;2019-07-13;2019-02-25;0;8
6qtr;B;2019-07-13;2019-02-25;0;11
6qto;B;2019-07-13;2019-02-25;0;8
6gy2;C;2019-07-13;2018-06-28;0;12
6qtt;B;2019-07-13;2019-02-25;0;8
6hix;UF;2019-07-12;2018-08-31;0;24
6qdv;R;2019-07-11;2019-01-03;0;26
5jup;CC;2019-07-11;2016-05-10;0;71
6q9a;6;2019-07-11;2018-12-17;0;23
4v9m;Bf;2019-07-11;2013-04-25;0;31
6mce;B;2019-07-11;2018-08-31;0;17
6hix;UI;2019-07-11;2018-08-31;0;17
6hix;UL;2019-07-11;2018-08-31;0;15
6hix;UM;2019-07-11;2018-08-31;0;6
6gsl;18;2019-07-11;2018-06-14;0;30
6hiw;UR;2019-07-11;2018-08-31;0;8
4y52;L;2019-07-11;2015-02-11;0;45
5dea;B;2019-07-11;2015-08-25;0;14
5ju8;B5;2019-07-11;2016-05-10;0;9
5el4;1B;2019-07-11;2015-11-04;0;24
5jte;B5;2019-07-11;2016-05-09;0;9
4v90;B4;2019-07-11;2014-02-22;0;71
4v9k;Bh;2019-07-11;2013-04-24;0;30
4wsm;I5;2019-07-11;2014-10-28;0;63
4v9k;Bf;2019-07-11;2013-04-24;0;31
4v7x;B4;2019-07-11;2010-08-17;0;32
4v8o;BK;2019-07-11;2011-07-26;0;140
4v7l;B4;2019-07-11;2009-11-12;0;30
4v7r;AR;2019-07-11;2010-07-23;0;47
4v7r;Af;2019-07-11;2010-07-23;0;11
4v88;Af;2019-07-11;2011-10-11;0;71
4v7k;AJ;2019-07-11;2009-11-02;0;130
4v6p;B2;2019-07-11;2011-12-08;0;70
4v6o;B7;2019-07-11;2011-12-07;0;38
4v6x;Af;2019-07-11;2013-02-27;0;71
4v6r;B2;2019-07-11;2011-12-08;0;70
4v6n;A2;2019-07-11;2011-12-07;0;70
4v4j;v;2019-07-11;2007-07-18;0;24
4v4j;S;2019-07-11;2007-07-18;0;103
4ioa;4;2019-07-11;2013-01-07;0;37
3jbv;z;2019-07-10;2015-10-16;0;27
3j9w;B0;2019-07-10;2015-03-16;0;58
3m3y;L;2019-07-10;2010-03-10;0;46
3jbu;z;2019-07-10;2015-10-16;0;26
3j92;1;2019-07-10;2014-12-02;0;15
2xb2;G;2019-07-10;2010-04-03;0;15
2vum;M;2019-07-10;2008-05-27;0;7
2j0s;T;2019-07-10;2006-08-04;0;62
6c4h;X;2019-07-10;2018-01-12;0;10
1i6h;L;2019-07-10;2001-03-02;0;46
5tga;E1;2019-07-10;2016-09-27;0;71
4wt1;I5;2019-07-10;2014-10-29;0;63
5f8k;1y;2019-07-10;2015-12-09;0;16
4xej;ATHX;2019-07-10;2014-12-23;0;24
4v9j;Bf;2019-07-10;2013-04-23;0;31
4v8z;A5;2019-07-10;2013-07-20;0;71
4v8y;A5;2019-07-10;2013-07-20;0;71
4v7w;B4;2019-07-10;2010-08-16;0;32
4v7z;B4;2019-07-10;2010-08-18;0;32
4v7y;B4;2019-07-10;2010-08-18;0;32
4v5s;BK;2019-07-10;2010-12-07;0;140
4v68;B6;2019-07-10;2008-12-11;0;44
4v6f;DI;2019-07-10;2009-07-09;0;30
4v5l;BK;2019-07-10;2010-09-02;0;140
4v4g;BI;2019-07-10;2004-10-06;0;52
4v4v;B1;2019-07-10;2006-05-09;0;52
4v4g;B6;2019-07-10;2004-10-06;0;35
4v5b;A4;2019-07-10;2007-11-22;0;38
4v4v;BN;2019-07-10;2006-05-09;0;114
4v51;B6;2019-07-10;2006-07-31;0;44
4v4g;B2;2019-07-10;2004-10-06;0;58
4v5a;B4;2019-07-10;2007-06-28;0;49
4u51;E1;2019-07-10;2014-07-24;0;71
4u53;E1;2019-07-10;2014-07-24;0;71
4u56;E1;2019-07-10;2014-07-24;0;71
4u52;E1;2019-07-10;2014-07-24;0;71
4u50;E1;2019-07-10;2014-07-24;0;71
4u4o;E1;2019-07-10;2014-07-24;0;71
4u4o;e1;2019-07-10;2014-07-24;0;76
4u4q;E1;2019-07-10;2014-07-24;0;71
4kzx;f;2019-07-10;2013-05-30;0;71
4kzy;f;2019-07-10;2013-05-30;0;71
4kzz;f;2019-07-10;2013-05-30;0;71
484d;A;2019-07-10;1999-08-02;0;17
2ypa;D;2019-07-10;2012-10-30;0;30
2j28;U;2019-07-10;2006-08-16;0;102
2ezg;A;2019-07-10;1997-06-04;0;10
4ak4;H;2019-07-10;2012-02-21;0;15
1mnb;A;2019-07-10;1996-07-25;0;14
5wjn;C;2019-07-10;2017-07-23;0;10
2bpa;3;2019-07-10;1991-12-03;0;36
1hap;L;2019-07-10;1995-10-03;0;27
1hao;L;2019-07-10;1995-10-03;0;27
6ehj;D;2019-07-10;2017-09-13;0;8
6bcy;C;2019-07-10;2017-10-20;0;10
5w18;H;2019-07-10;2017-06-02;0;5
2da8;A;2019-07-10;1993-04-09;0;7
5wjl;C;2019-07-10;2017-07-23;0;10
6i7a;B;2019-07-09;2018-11-16;0;7
6obd;E;2019-07-09;2019-03-20;0;9
6mil;B;2019-07-09;2018-09-19;0;7
6mim;B;2019-07-09;2018-09-19;0;6
6mon;C;2019-07-09;2018-10-04;0;5
6buu;F;2019-07-09;2017-12-11;0;10
6byj;G;2019-07-09;2017-12-20;0;13
6i68;B;2019-07-09;2018-11-15;0;7
6a5s;C;2019-07-09;2018-06-25;0;11
6cd8;C;2019-07-09;2018-02-08;0;4
5yyf;B;2019-07-09;2017-12-09;0;5
5wmn;E;2019-07-09;2017-07-30;0;9
5wrj;F;2019-07-09;2016-12-02;0;4
1fzf;M;2019-07-09;1998-12-28;0;4
3ery;P;2019-07-09;2008-10-03;0;9
3dkt;K;2019-07-09;2008-06-26;0;8
3f9x;E;2019-07-09;2008-11-14;0;9
2h43;I;2019-07-09;2006-05-23;0;4
4e0r;C;2019-07-09;2012-03-05;0;8
4mex;M;2019-07-09;2013-08-27;0;7
4ynn;J;2019-07-09;2015-03-10;0;6
1qr1;C;2019-07-09;1999-06-17;0;9
6h8k;AM;2019-07-09;2018-08-02;0;18
4i1p;B;2019-07-09;2012-11-21;0;3
1fzc;G;2019-07-09;1998-05-19;0;4
4huv;C;2019-07-09;2012-11-04;0;9
4bg6;Q;2019-07-09;2013-03-23;0;7
4wz7;BI;2019-07-09;2014-11-18;0;9
5ifj;C;2019-07-09;2016-02-26;0;9
6hg7;A;2019-07-09;2018-08-22;0;36
2z4e;I;2019-07-09;2007-06-16;0;5
2hpc;M;2019-07-09;2006-07-17;0;4
5nq3;C;2019-07-09;2017-04-19;0;9
2e7l;P;2019-07-09;2007-01-11;0;9
4gg6;I;2019-07-09;2012-08-06;0;13
4lkm;B;2019-07-09;2013-07-08;0;6
4ozi;I;2019-07-09;2014-02-16;0;11
6he5;K;2019-07-09;2018-08-20;0;9
3zke;B;2019-07-09;2013-01-22;0;11
4wz7;AA;2019-07-09;2014-11-18;0;18
4e1h;B;2019-07-09;2012-03-06;0;6
2q9i;M;2019-07-09;2007-06-12;0;5
4ay6;E;2019-07-09;2012-06-18;0;11
5ijk;X;2019-07-09;2016-03-02;0;8
1qja;Q;2019-07-09;1999-06-23;0;8
2ffd;G;2019-07-09;2005-12-19;0;4
2o88;C;2019-07-09;2006-12-12;0;10
5n99;C;2019-07-09;2017-02-24;0;5
1fzc;I;2019-07-09;1998-05-19;0;4
3coj;H;2019-07-09;2008-03-28;0;10
2v7d;P;2019-07-09;2007-07-30;0;7
4p0a;B;2019-07-09;2014-02-20;0;4
6ro1;B;2019-07-09;2019-05-10;0;18
6rmm;P;2019-07-09;2019-05-07;0;9
6r5c;C;2019-07-09;2019-03-24;0;6
6r4w;C;2019-07-09;2019-03-24;0;6
6r57;C;2019-07-09;2019-03-24;0;6
6r4z;D;2019-07-09;2019-03-24;0;4
6r5b;C;2019-07-09;2019-03-24;0;6
6r4y;D;2019-07-09;2019-03-24;0;4
6r58;I;2019-07-09;2019-03-24;0;6
6mwz;M;2019-07-09;2018-10-30;0;6
6mt6;B;2019-07-09;2018-10-19;0;9
6hlb;B;2019-07-09;2018-09-11;0;6
6hwh;J;2019-07-09;2018-10-12;0;35
6hzb;B;2019-07-09;2018-10-23;0;4
6npw;E;2019-07-09;2019-01-18;0;5
6hzd;B;2019-07-09;2018-10-23;0;5
6om4;C;2019-07-09;2019-04-18;0;6
6mtm;C;2019-07-09;2018-10-19;0;9
6mt5;C;2019-07-09;2018-10-19;0;9
6hle;B;2019-07-09;2018-09-11;0;5
6i41;B;2019-07-09;2018-11-08;0;7
6i4x;D;2019-07-09;2018-11-12;0;9
6hsn;D;2019-07-09;2018-10-01;0;10
6i5n;I;2019-07-09;2018-11-14;0;10
6mt4;C;2019-07-09;2018-10-19;0;9
6npz;F;2019-07-09;2019-01-18;0;10
6hza;B;2019-07-08;2018-10-23;0;4
6hoi;G;2019-07-08;2018-09-17;0;9
6q36;C;2019-07-08;2018-12-03;0;15
6hld;B;2019-07-08;2018-09-11;0;5
6hzc;B;2019-07-08;2018-10-23;0;5
6mm5;C;2019-07-08;2018-09-29;0;12
6cct;B;2019-07-08;2018-02-07;0;4
6da1;C;2019-07-08;2018-05-01;0;16
6f4t;B;2019-07-08;2017-11-30;0;3
6be9;A;2019-07-08;2017-10-24;0;5
6bin;C;2019-07-08;2017-11-02;0;13
6bqb;P;2019-07-08;2017-11-27;0;7
